"GEOID","total_pop","pct_white","pct_black","pct_hispanic","pct_asian","poverty_rate","unemployment_rate","median_income","pct_renter","pct_rent_burdened","pct_severe_burden","pct_less_than_hs","median_rent","median_home_value","property_age","vacant_units"
"42101002802",5720,64.527972027972,6.6958041958042,13.2692307692308,19.2832167832168,18.3362521891419,6.53085680047933,78871,36.6403162055336,49.0830636461704,29.126213592233,14.846679902934,1388,350600,86,134
"42101002900",3891,70.0848111025443,3.52094577229504,8.96941660241583,8.532510922642,10.4086353122591,5.62390158172232,93631,35.0262697022767,27.5,20.875,2.50463821892393,1232,406100,86,131
"42101003001",3431,32.6143981346546,16.2926260565433,8.48149227630428,36.7531331973186,20.2040816326531,7.86252354048964,59583,36.0427807486631,52.0771513353116,26.2611275964392,16.9447170428525,1281,245400,86,227
"42101003002",3171,36.4553768527278,38.1583096814885,14.2857142857143,10.9113844213182,26.9000315357931,9.72364380757421,74213,38.264192139738,33.3808844507846,18.5449358059914,7.04526046114432,1673,364900,86,291
"42101003100",5017,33.3466214869444,52.9798684472793,13.8728323699422,0,19.6930436515846,4.71662228984405,78270,35.4166666666667,43.6363636363636,32.9411764705882,17.8693181818182,1319,297200,73,360
"42101003200",4196,23.7845567206864,56.9113441372736,10.2001906577693,5.45757864632984,12.4665856622114,12.6134301270417,58920,31.2265917602996,32.9835082458771,20.8395802098951,12.4165554072096,1471,198100,86,395
"42101003300",6286,40.9163219853643,43.0480432707604,16.7515112949411,7.25421571746739,29.89182309895,17.9742074153681,56923,52.2938623682579,51.6301126259633,32.3058684054535,11.0107905747633,1323,207600,75,600
"42101003600",6915,17.2668112798265,60.6796818510484,3.61532899493854,17.8163412870571,27.7235050325636,15.8793969849246,40271,44.1919191919192,46.9387755102041,33.6326530612245,21.9016083254494,524,190800,71,231
"42101003701",5396,23.4432913269088,45.4040029651594,8.93254262416605,21.2194217939214,15.8618127786033,7.25229826353422,59837,31.1554078995939,50.7109004739336,44.1943127962085,9.50875486381323,1434,262200,86,390
"42101003702",3742,27.9262426509888,37.4665954035275,1.14911811865313,25.2805986103688,16.3014430785676,10.9433962264151,49493,34.5800988002823,36.9387755102041,22.6530612244898,17.2995780590717,1340,226400,86,138
"42101003800",3851,88.236821604778,1.16852765515451,6.56972215009089,5.29732537003376,6.41391846273695,5.3166897827092,90221,18.328530259366,19.1823899371069,14.1509433962264,10.9153713298791,1344,293400,86,77
"42101003901",5813,66.8673662480647,8.10252881472561,9.13469809048684,16.1362463444005,14.3203463203463,10.6720302886891,61984,50.5211526670754,36.4684466019417,20.3883495145631,7.50560881093208,1187,281000,86,303
"42101003902",5419,90.5333087285477,0,2.41742018822661,2.8233991511349,11.2013286584241,6.40770252324037,78582,23.9404352806415,49.7607655502392,9.40988835725678,8.3950046253469,1404,278500,86,235
"42101004001",4029,79.9950359890792,3.47480764457682,9.60536113179449,7.17299578059072,20.8488458674609,5.79181855002025,61583,45.5053563111318,49.1299897645855,35.9263050153531,14.1083863154708,1231,296400,86,134
"42101004002",5272,76.3277693474962,5.44385432473445,2.44688922610015,10.3566009104704,10.2807283763278,2.3778071334214,82834,23.7631792376318,32.5938566552901,15.6996587030717,12.3097112860892,1390,264500,86,139
"42101004101",5001,42.8914217156569,9.01819636072785,28.1143771245751,30.1539692061588,10.5578884223155,7.82456140350877,67992,27.7777777777778,36.8421052631579,25.4135338345865,25.8706467661692,1405,228600,86,399
"42101004103",5000,25.16,1.66,52.1,28.72,39.4463667820069,9.79449059903804,51450,39.5619438740589,44.1176470588235,20.7612456747405,30.5701294158797,1562,196200,86,88
"42101004104",3697,45.4152015147417,0.64917500676224,25.1825804706519,38.274276440357,25.3719231809575,16.1697247706422,66648,46.7383512544803,26.5337423312883,25,19.1166077738516,1114,188200,86,23
"42101004201",4916,59.0113913751017,2.17656631407649,9.6826688364524,29.2107404393816,16.3547599674532,1.47843942505133,88095,20.8955223880597,20.0396825396825,17.6587301587302,12.6138189608998,1503,256700,86,344
"42101004202",5522,70.4454907642159,4.23759507424846,18.9967403114813,15.6283955088736,22.337027991734,11.9269776876268,68419,25.4454088624943,53.8599640933573,37.342908438061,17.4248073576933,1621,233200,86,152
"42101005400",1739,18.3438757906843,79.4709603220242,2.99022426682001,1.09258194364577,29.6147211040828,17.6470588235294,60000,60.0765306122449,60.9341825902335,29.0870488322718,13.4446397188049,1426,209600,46,36
