code,citycor,long_code,zoninggroup,pending,pendingbill,pendingbillurl,sunset_date,sunsetbillnum,sunsetbilllink,objectid,globalid,Shape__Area,Shape__Length
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28858,,1776.53515625,200.477772482987
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28859,,7056.77734375,387.821005188135
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28860,,25042.7578125,786.881628439875
RM3,0,RM-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28861,,77434.19921875,1636.38503584287
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28862,,9641.08984375,544.336200516064
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28863,,12049.5390625,560.819450489866
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28864,,15512.03125,582.980849392504
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28865,,12722.91015625,588.010411633437
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28866,,6907.0234375,353.804547362156
RSD3,0,RSD-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28867,,54523.46484375,1342.81596305834
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28868,,14732.81640625,502.984126233233
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28869,,10981.6171875,427.675314398672
RSA6,0,RSA-6,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28870,,885.921875,143.739554485001
RSA6,0,RSA-6,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28871,,1474.2421875,187.410843819335
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28872,,200.68359375,74.7187447434887
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28873,,5517.9921875,346.805255690778
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28874,,160.18359375,61.475569993414
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28875,,3192.921875,232.95072377783
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28876,,1800.85546875,176.569878555181
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28877,,6882.23828125,395.104911666906
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28878,,15627.22265625,571.944503632718
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28879,,1754.01953125,181.227914880375
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28880,,1224.3984375,143.121628112408
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28881,,4412.7421875,291.622188662543
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28882,,1667.375,180.089395617128
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28883,,6099.203125,349.797026241908
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28884,,485.21875,91.2068553491299
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28885,,2002.33203125,188.706337188148
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28886,,1963.10546875,187.2501580696
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28887,,5951.53515625,315.782325863033
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28888,,11968.80078125,468.020719822752
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28889,,725.45703125,110.45065787183
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28890,,3715.53125,313.174430759307
RM2,0,RM-2,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28891,,486306.546875,2878.99362007857
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28892,,33229.7109375,859.530671135079
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28893,,4092.67578125,363.404532025357
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28894,,6960.8359375,345.984781800882
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28895,,8137.01171875,397.734489507339
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28896,,939.18359375,122.842691496733
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28897,,977.09765625,135.020123905346
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28898,,3009.77734375,266.3853900925
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28899,,3091.67578125,261.070304557018
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28900,,4549.828125,319.693377458908
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28901,,15418.51953125,571.208857350322
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28902,,7615.44921875,590.691955309028
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28903,,1955.3671875,176.969312214394
CA1,0,CA-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28904,,2252.65234375,192.641575859015
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28905,,1505.29296875,156.053955378054
CMX2.5,0,CMX-2.5,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28906,,7598.1171875,569.391791838667
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28907,,2717.9765625,208.275938869877
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28908,,22462.0390625,703.444467032427
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28909,,5073.3359375,286.419801954966
RSA3,1,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28910,,23689.5625,804.417370318661
CMX5,2,CMX-5,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28911,,154034.50390625,2514.41103325001
RSA2,0,RSA-2,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28912,,119046.48046875,3717.73332567014
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28913,,3917.7890625,296.226900771724
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28914,,16267.31640625,554.41533954077
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28915,,1263.92578125,143.020051498531
RSA3,1,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28916,,28795.33984375,979.689806897984
